id;question;answer
1;"They, mostly come out at night,______.";"mostly"
2;"We wear ______ on Wednesdays.";"pink"
3;"Death awaits you all with nasty big pointy ______.";"teeth"
4;"Life is like a box of _________. You never know what you're going to get.";"chocolates"
5;"Hasta la vista, _____";"baby"
6;"Great kid, don't get _____!";"cocky"
7;"It's a ____ !";"trap"
8;"Who ya gonna call...____ !!!";"ghostbusters"
9;"I love the smell of ______ in the morning.";"napalm"
10;"I'll have what ___'s having.";"she"
