id;question;answer
1;"What is ____? Baby don't hurt me, don't hurt me, no mo'.";"love"
2;"So when you hear the sound - hootie hoo! ____________!";"run for cover motherfuckers"
3;"I'm starting with the man in the ________.";"mirror"
4;"Girls just want to have ______.";"fun"
5;"I'm not a businessman, I'm a business ____.";"man"
6;"You're my butterfly, ______ baby.";"sugar"
7;"_,M,C,A!";"y"
8;"We all live in a yellow _______marine.";"sub"
9;"I shot a man in ____ just to watch him die.";"reno"
10;"_____ was a bullfrog!";"jeremiah"
